Campaign,Campaign Label,Budget Group,Budget,Target Location,Latitude,Longitude,Radius Distance,Excluded Location,Languages,Date Range,Audience,Negative Keyword List Keywords,Cpn Sitelink text,Cpn Sitelink description 1,Cpn Sitelink description 2,Cpn Sitelink Final URL,Cpn Callout Text,Cpn Price Header,Cpn Price price,Cpn Price description,Cpn Price URL,Cpn Call Phone,Adgroup,Max CPC,Adgroup Label,Keyword,Keyword Label,Keyword Final URL,Negative Keyword,RSA Final URL,RSA headline 1,RSA headline 2,RSA headline 3,RSA description 1,RSA description 2,RSA Label,CA Phone Number,CA Final URL,CA headline 1 ,CA headline 2,CA Business Name,CA description 1,CA description 2,CA Label,Ag Sitelink text,Ag Sitelink Final URL,Ag Callout text,Ag Price Header,Ag Price Price,Ag Price description,Ag Price URL,Ag Call Phone,Extra Column,,Shared List Keyword,Shared List Negative Keyword,Shared List Final Url,Shared List Phone,Shared List Callout Text
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,DND_DO_NOT_MODIFY Cryptic cpn label update 2,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,DND_DO_NOT_MODIFY Cryptic adgroup label update 2,[Cryptic keyword 1],DND_DO_NOT_MODIFY Cryptic keyword label ignore 2,https://www.optmyzr,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,DND_DO_NOT_MODIFY Cryptic RSA label update 2,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,DND_DO_NOT_MODIFY Cryptic CA label update 2,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 2],,https://www.optmyzr,[Cryptic ngetive keyword 2],https://www.optmyzr.com,Cryptic Rsa headline 2,Cryptic Rsa headline 102,Cryptic Rsa headline 202,Cryptic Rsa description 2,Cryptic Rsa desciption 102,,9000000002,https://www.optmyzr.com,Cryptic CA headline 2,Cryptic CA headline 102,Optmyzr,Cryptic CA description 2,Cryptic CA description 102,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 3,Cryptic Rsa headline 103,Cryptic Rsa headline 203,Cryptic Rsa description 3,Cryptic Rsa desciption 103,DND_DO_NOT_MODIFY Cryptic RSA label ignore 2,9000000003,https://www.optmyzr.com,Cryptic CA headline 3,Cryptic CA headline 103,Optmyzr,Cryptic CA description 3,Cryptic CA description 103,DND_DO_NOT_MODIFY Cryptic CA label ignore 2,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 4 u,Cryptic Rsa headline 104 u,Cryptic Rsa headline 204 u,Cryptic Rsa description 4 u,Cryptic Rsa desciption 104 u,,9000000004,https://www.optmyzr.com,Cryptic CA headline 4 u,Cryptic CA headline 104 u,Optmyzr,Cryptic CA description 4 u,Cryptic CA description 104 u,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 5,Cryptic Rsa headline 105,Cryptic Rsa headline 205,Cryptic Rsa description 5,Cryptic Rsa desciption 105,,9000000005,https://www.optmyzr.com,Cryptic CA headline 5,Cryptic CA headline 105,Optmyzr,Cryptic CA description 5,Cryptic CA description 105,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 6,Cryptic Rsa headline 106,Cryptic Rsa headline 206,Cryptic Rsa description 6,Cryptic Rsa desciption 106,,9000000005,https://www.optmyzr.com,Cryptic CA headline 6,Cryptic CA headline 106,Optmyzr,Cryptic CA description 6,Cryptic CA description 106,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 3,0.01,DND_DO_NOT_MODIFY Cryptic adgroup label ignore 2,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 4,0.01,,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 5,0.01,,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,2356,28.56259796,77.12201078,50,2840,1102,1/1/2010-1/1/2050,6505315,Nkw_list_1,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,21137,40.78126618,-73.96614552,50,9061642,1013,2/2/2010-2/2/2050,21332611,Nkw_list_2,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
